group,names,scores,logfoldchanges,pvals,pvals_adj
PVL,ENSG00000173918,60.50615,5.4217176,0.0,0.0
PVL,ENSG00000187479,60.465874,11.502246,0.0,0.0
PVL,ENSG00000103196,60.456223,4.9376254,0.0,0.0
PVL,ENSG00000134871,60.400913,6.5663624,0.0,0.0
Plasmablasts,ENSG00000170476,92.730125,23.567535,0.0,0.0
Plasmablasts,ENSG00000180879,84.00504,39.115387,0.0,0.0
Plasmablasts,ENSG00000211896,83.894875,249.55466,0.0,0.0
Plasmablasts,ENSG00000099958,82.266335,15.511142,0.0,0.0
Plasmablasts,ENSG00000132465,76.94409,127.87618,0.0,0.0
Plasmablasts,ENSG00000211592,75.48925,788.8061,0.0,0.0
Plasmablasts,ENSG00000105369,73.92663,10.106975,0.0,0.0
Plasmablasts,ENSG00000134285,73.77718,7.940893,0.0,0.0
Plasmablasts,ENSG00000211892,73.3335,60.73632,0.0,0.0
Plasmablasts,ENSG00000135916,71.48752,8.833037,0.0,0.0
Plasmablasts,ENSG00000166562,68.43602,8.073176,0.0,0.0
Plasmablasts,ENSG00000100219,63.261005,12.693085,0.0,0.0
Plasmablasts,ENSG00000211598,61.52966,276.43887,0.0,0.0
Plasmablasts,ENSG00000051108,60.576576,13.386759,0.0,0.0
Plasmablasts,ENSG00000241351,60.5354,390.97586,0.0,0.0
Plasmablasts,ENSG00000239951,60.52384,461.81082,0.0,0.0
Plasmablasts,ENSG00000211673,60.37591,138.16464,0.0,0.0
Plasmablasts,ENSG00000243466,59.589684,402.69034,0.0,0.0
Plasmablasts,ENSG00000211897,58.72242,86.09572,0.0,0.0
Plasmablasts,ENSG00000254709,58.270977,12.344183,0.0,0.0
Plasmablasts,ENSG00000241755,57.76983,371.25626,0.0,0.0
Plasmablasts,ENSG00000244437,57.651283,355.74512,0.0,0.0
Plasmablasts,ENSG00000123131,51.827538,4.639667,0.0,0.0
Plasmablasts,ENSG00000102096,49.409245,5.611356,0.0,0.0
Plasmablasts,ENSG00000004468,48.362507,5.0194254,0.0,0.0
Plasmablasts,ENSG00000166598,47.21444,7.048918,0.0,0.0
Plasmablasts,ENSG00000128228,46.93121,3.1532202,0.0,0.0
Plasmablasts,ENSG00000173486,45.912086,3.7056231,0.0,0.0
Plasmablasts,ENSG00000048462,45.85645,8.4949875,0.0,0.0
Plasmablasts,ENSG00000129128,44.786007,3.210704,0.0,0.0
Plasmablasts,ENSG00000110777,44.503376,6.4093556,0.0,0.0
Plasmablasts,ENSG00000211653,44.010983,261.03656,0.0,0.0
Plasmablasts,ENSG00000167476,43.9754,9.212943,0.0,0.0
Plasmablasts,ENSG00000198833,43.528793,3.764744,0.0,0.0
Plasmablasts,ENSG00000172183,43.24081,3.495096,0.0,0.0
Plasmablasts,ENSG00000211677,43.114655,317.45966,0.0,0.0
Plasmablasts,ENSG00000243290,42.13097,17.209698,0.0,0.0
Plasmablasts,ENSG00000270550,41.80556,92.43639,0.0,0.0
Plasmablasts,ENSG00000184164,41.382412,2.724856,0.0,0.0
Plasmablasts,ENSG00000147535,41.279625,2.667427,0.0,0.0
Plasmablasts,ENSG00000211895,40.989124,93.94567,0.0,0.0
Plasmablasts,ENSG00000139193,40.61804,4.2218404,0.0,0.0
Plasmablasts,ENSG00000211947,40.583298,102.52343,0.0,0.0
Plasmablasts,ENSG00000114850,39.550404,2.688404,0.0,0.0
Plasmablasts,ENSG00000183508,39.452072,3.1370065,0.0,0.0
Plasmablasts,ENSG00000211949,39.143024,104.12939,0.0,0.0
